,0,1,2
600,6,207,5
601,404,723,1
602,183,271,4
603,84,418,5
604,526,432,4
605,932,79,2
606,915,0,4
607,306,171,5
608,804,172,4
609,248,87,4
610,928,134,5
611,895,264,4
612,526,877,1
613,42,814,4
614,710,166,2
615,874,70,2
616,200,332,2
617,692,590,3
618,853,269,4
619,300,95,5
620,2,324,1
621,333,284,4
622,5,22,4
623,915,473,4
624,478,299,2
625,885,800,3
626,180,1198,1
627,408,57,4
628,415,474,2
629,213,195,4
630,560,232,1
631,605,187,4
632,193,80,2
633,270,344,3
634,327,432,2
635,654,269,4
636,95,155,4
637,918,221,3
638,36,287,4
639,757,714,4
640,591,182,5
641,885,384,3
642,711,219,5
643,275,238,4
644,210,285,4
645,850,342,2
646,547,321,4
647,652,1132,2
648,641,185,5
649,9,628,4
650,560,761,3
651,842,182,5
652,654,894,3
653,404,1579,1
654,292,164,3
655,12,131,4
656,94,388,4
657,238,473,5
658,245,918,4
659,486,94,4
660,406,674,3
661,431,99,3
662,733,486,4
663,124,235,1
664,579,288,5
665,553,226,3
666,748,401,4
667,748,943,4
668,499,845,3
669,344,738,4
670,427,689,5
671,491,650,3
672,150,708,5
673,199,1216,4
674,654,345,4
675,6,610,3
676,451,522,2
677,6,471,2
678,206,791,2
679,292,142,4
680,867,229,3
681,895,1350,2
682,869,267,3
683,215,183,4
684,654,1096,3
685,146,285,5
686,17,522,4
687,717,590,4
688,58,581,4
689,861,405,4
690,776,167,5
691,906,172,4
692,200,384,2
693,711,365,5
694,895,1266,2
695,456,1036,2
696,822,100,3
697,264,755,4
698,268,410,1
699,602,221,4
700,319,16,5
701,307,745,4
702,310,661,4
703,386,1165,3
704,338,526,4
705,893,278,4
706,233,161,3
707,250,467,2
708,304,707,3
709,321,32,4
710,739,747,3
711,48,81,1
712,527,82,5
713,879,365,2
714,298,1140,4
715,797,661,3
716,480,49,4
717,136,1116,2
718,891,704,4
719,345,1221,4
720,505,1607,2
721,124,175,5
722,261,39,4
723,404,1588,1
724,541,584,2
725,550,68,4
726,941,1220,4
727,12,778,3
728,473,123,5
729,212,596,5
730,704,229,4
731,765,678,3
732,380,82,4
733,822,769,4
734,327,1125,3
735,245,720,4
736,388,208,4
737,58,663,4
738,843,626,3
739,590,865,3
740,220,217,4
741,775,430,4
742,477,275,5
743,103,474,4
744,192,55,1
745,649,1034,2
746,529,173,4
747,915,386,4
748,558,179,4
749,559,122,2
750,268,475,1
751,471,184,5
752,586,688,1
753,449,132,5
754,416,870,2
755,408,133,5
756,193,574,1
757,275,409,4
758,91,976,2
759,388,784,3
760,850,526,5
761,882,3,4
762,553,281,3
763,377,1179,3
764,313,1031,4
765,404,1044,3
766,446,281,4
767,642,128,5
768,561,503,4
769,847,87,4
770,345,99,3
771,223,161,4
772,267,745,3
773,373,278,4
774,765,496,3
775,245,225,2
776,129,116,5
777,211,245,5
778,723,947,1
779,150,177,5
780,15,497,5
781,931,428,5
782,62,283,3
783,370,96,5
784,770,476,5
785,773,22,3
786,678,222,5
787,517,762,1
788,726,635,3
789,434,545,4
790,794,99,5
791,12,203,5
792,398,1230,3
793,654,516,4
794,549,992,4
795,647,150,2
796,806,173,5
797,753,294,4
798,405,451,2
799,216,175,4
800,649,734,3
801,275,1140,3
802,335,715,2
803,444,741,1
804,84,854,3
805,0,112,5
806,896,384,3
807,344,76,3
808,658,430,4
809,16,268,4
810,91,514,4
811,291,227,5
812,353,65,2
813,639,381,4
814,101,404,2
815,576,401,4
816,620,79,4
817,366,799,4
818,888,293,3
819,757,345,2
820,940,257,4
821,526,176,5
822,864,1027,1
823,384,194,1
824,641,63,5
825,90,388,2
826,118,209,5
827,446,49,5
828,65,180,5
829,717,974,2
830,345,287,2
831,560,87,2
832,905,9,4
833,520,162,3
834,275,26,3
835,290,455,3
836,654,1146,3
837,485,241,4
838,14,305,5
839,877,18,4
840,605,507,4
841,226,126,4
842,504,525,5
843,941,944,5
844,129,247,3
845,373,1045,5
846,292,290,2
847,157,84,4
848,690,204,5
849,319,299,4
850,220,143,4
851,12,558,1
852,609,750,4
853,25,368,2
854,118,812,4
855,5,305,4
856,344,92,4
857,326,274,4
858,404,227,1
859,424,1109,1
860,503,317,5
861,362,247,5
862,273,410,3
863,698,14,1
864,568,299,3
865,353,743,4
866,144,695,3
867,797,622,3
868,43,68,4
869,159,249,4
870,220,1034,3
871,180,1133,2
872,229,303,5
873,744,203,3
874,151,715,5
875,797,479,3
876,29,258,4
877,845,270,5
878,457,512,4
879,565,162,5
880,179,732,5
881,177,203,4
882,654,1254,3
883,270,8,4
884,302,490,4
885,288,404,2
886,192,904,4
887,429,263,2
888,757,656,5
889,881,596,4
890,464,131,4
891,441,267,4
892,454,236,3
893,221,158,3
894,175,880,3
895,586,265,1
896,490,6,3
897,906,738,5
898,37,412,1
899,86,193,5
900,41,264,3
901,12,806,1
902,311,1123,4
903,93,427,5
904,638,304,1
905,267,1015,3
906,447,1601,4
907,898,228,2
908,668,167,4
909,926,540,5
910,279,28,3
911,249,1013,4
912,453,1106,4
913,497,180,2
914,144,1050,2
915,114,88,5
916,296,88,4
917,746,134,5
918,551,1619,3
919,118,545,4
920,706,318,5
921,322,333,3
922,896,669,3
923,530,357,1
924,554,119,4
925,664,495,3
926,86,207,5
927,497,593,2
928,517,474,4
929,748,116,4
930,467,177,5
931,698,69,4
932,882,353,4
933,33,897,5
934,879,84,3
935,222,120,3
936,668,124,3
937,885,356,4
938,343,420,2
939,197,95,4
940,822,196,5
941,559,301,5
942,111,326,1
943,193,481,3
944,898,602,4
945,862,909,2
946,545,293,1
947,566,175,5
948,334,747,2
949,271,199,5
950,600,197,4
951,872,312,5
952,386,178,5
953,486,236,4
954,47,510,5
955,300,731,4
956,62,19,3
957,18,7,5
958,80,317,5
959,187,627,5
960,804,272,2
961,150,131,5
962,665,176,3
963,889,186,5
964,238,303,1
965,371,76,5
966,920,471,2
967,325,89,1
968,362,133,2
969,220,650,4
970,789,1184,2
971,496,577,4
972,339,485,4
973,13,95,4
974,216,37,3
975,487,741,4
976,294,628,5
977,315,190,5
978,71,27,4
979,829,196,4
980,558,686,3
981,116,264,4
982,317,940,4
983,293,99,4
984,415,415,4
985,173,722,5
986,642,526,3
987,895,132,2
988,452,1144,2
989,787,509,5
990,750,196,3
991,302,1216,1
992,531,368,3
993,188,655,4
994,188,173,5
995,406,399,1
996,389,739,4
997,748,548,3
998,416,267,4
999,698,272,3
1000,617,181,4
1001,473,677,2
1002,730,1038,4
1003,544,0,5
1004,547,163,5
1005,118,339,4
1006,682,270,3
1007,451,1056,1
1008,197,297,1
1009,391,268,5
1010,550,306,4
1011,647,0,5
1012,410,185,5
1013,652,471,1
1014,415,89,4
1015,285,534,5
1016,311,601,4
1017,444,272,2
1018,358,245,3
1019,544,77,2
1020,313,1177,2
1021,29,434,5
1022,616,344,1
1023,103,712,3
1024,206,734,4
1025,816,14,3
1026,93,110,4
1027,300,394,1
1028,598,0,4
1029,477,391,2
1030,322,332,4
1031,57,729,5
1032,491,526,5
1033,404,714,1
1034,863,37,3
1035,462,18,5
1036,88,404,3
1037,199,98,5
1038,449,401,4
1039,388,954,4
1040,12,913,2
1041,267,70,3
1042,566,602,5
1043,220,149,5
1044,748,98,5
1045,300,272,1
1046,116,163,5
1047,341,152,4
1048,795,1089,4
1049,226,822,2
1050,814,674,2
1051,867,745,2
1052,268,830,2
1053,424,160,3
1054,868,180,3
1055,838,863,3
1056,560,173,4
1057,261,194,2
1058,815,327,4
1059,750,193,5
1060,571,1136,3
1061,915,90,4
1062,285,228,1
1063,935,23,4
1064,13,381,5
1065,639,384,5
1066,311,429,5
1067,453,492,2
1068,293,409,4
1069,942,96,2
1070,675,351,1
1071,642,968,4
1072,243,709,3
1073,173,14,5
1074,27,11,4
1075,200,268,3
1076,405,276,3
1077,5,465,4
1078,606,482,4
1079,326,180,4
1080,215,94,3
1081,361,331,5
1082,503,806,4
1083,163,327,5
1084,90,142,4
1085,513,274,5
1086,795,312,4
1087,377,384,4
1088,398,793,3
1089,90,126,5
1090,129,94,5
1091,533,925,4
1092,711,574,3
1093,498,175,4
1094,270,176,3
1095,353,168,3
1096,278,549,4
1097,915,283,2
1098,907,172,3
1099,370,522,4
1100,737,208,4
1101,115,805,4
1102,580,1096,4
1103,41,495,5
1104,223,25,3
1105,942,231,4
1106,848,624,5
1107,180,281,4
1108,329,236,4
1109,576,767,3
1110,598,279,5
1111,583,540,3
1112,416,567,2
1113,296,0,3
1114,326,951,2
1115,159,921,5
1116,12,774,4
1117,65,294,3
1118,370,201,5
1119,94,447,3
1120,942,193,5
1121,285,393,5
1122,84,82,4
1123,885,812,4
1124,129,201,5
1125,529,177,5
1126,540,98,4
1127,544,394,4
1128,763,938,4
1129,285,814,3
1130,920,418,5
1131,360,530,5
1132,386,204,5
1133,238,1055,5
1134,521,522,5
1135,278,1208,4
1136,893,125,3
1137,370,626,4
1138,134,54,4
1139,24,741,4
1140,472,1142,4
1141,710,240,4
1142,626,51,3
1143,349,22,5
1144,448,1004,5
1145,452,213,3
1146,803,264,4
1147,238,131,5
1148,642,714,5
1149,440,404,3
1150,452,508,4
1151,837,0,5
1152,12,167,4
1153,248,852,4
1154,283,333,3
1155,744,126,2
1156,837,248,4
1157,781,876,3
1158,433,224,4
1159,353,380,5
1160,243,408,4
1161,343,863,3
1162,824,175,5
1163,254,233,5
1164,905,99,4
1165,711,754,4
1166,882,19,4
1167,259,332,4
1168,617,370,3
1169,627,329,5
1170,507,173,4
1171,317,311,4
1172,186,68,4
1173,757,207,4
1174,141,188,4
1175,343,596,2
1176,834,199,4
1177,261,426,4
1178,307,510,5
1179,275,664,3
1180,631,6,3
1181,329,1027,4
1182,197,264,3
1183,746,16,4
1184,484,345,4
1185,166,672,4
1186,278,1029,4
1187,560,954,3
1188,476,708,5
1189,462,949,3
1190,98,65,3
1191,619,14,5
1192,376,257,4
1193,523,637,2
1194,405,150,2
1195,377,42,3
1196,221,94,4
1197,183,51,4
1198,695,522,5
1199,504,68,3
1200,4,448,2
1201,625,265,1
1202,10,743,4
1203,418,1450,4
1204,243,1135,3
1205,770,380,3
1206,661,9,4
1207,507,377,5
1208,853,286,3
1209,893,749,4
1210,93,1031,2
1211,270,656,4
1212,54,173,4
1213,438,404,4
1214,936,863,3
1215,220,41,5
1216,544,541,2
1217,576,734,5
1218,237,545,3
1219,505,322,3
1220,311,131,5
1221,371,580,5
1222,918,274,5
1223,207,185,4
1224,278,804,3
1225,333,281,4
1226,716,124,4
1227,757,275,2
1228,91,31,3
1229,938,257,4
1230,262,485,4
1231,560,180,3
1232,832,162,3
1233,527,212,4
1234,340,329,5
1235,590,46,3
1236,322,1011,4
1237,889,199,4
1238,654,143,3
1239,877,284,5
1240,864,117,1
1241,535,94,5
1242,781,242,3
1243,659,429,4
1244,343,430,3
1245,377,1060,2
1246,720,144,4
1247,566,477,5
1248,214,356,4
1249,659,0,3
1250,616,1315,1
1251,757,354,4
1252,121,660,4
1253,841,343,1
1254,839,182,5
1255,41,273,5
1256,470,7,5
1257,697,489,3
1258,885,823,4
1259,413,345,5
1260,217,788,3
1261,428,738,3
1262,522,13,5
1263,489,474,4
1264,666,274,4
1265,69,95,4
1266,918,125,4
1267,541,131,3
1268,94,510,4
1269,654,1166,3
1270,693,434,4
1271,127,221,3
1272,233,284,4
1273,199,691,3
1274,585,755,1
1275,269,155,5
1276,708,412,2
1277,769,110,5
1278,324,627,3
1279,212,602,5
1280,785,6,5
1281,290,740,5
1282,839,511,5
1283,229,608,3
1284,845,1247,4
1285,377,422,4
1286,476,723,4
1287,0,157,3
1288,405,918,2
1289,369,113,3
1290,409,339,2
1291,851,824,3
1292,386,664,2
1293,429,275,1
1294,720,161,2
1295,307,801,3
1296,575,69,5
1297,424,451,2
1298,102,404,3
1299,489,514,3
1300,621,780,3
1301,692,696,4
1302,220,99,5
1303,94,94,3
1304,221,207,3
1305,748,139,3
1306,462,987,2
1307,185,99,4
1308,129,38,4
1309,278,128,1
1310,592,172,5
1311,275,681,3
1312,513,422,5
1313,9,126,5
1314,551,0,3
1315,12,39,2
1316,247,173,3
1317,487,180,4
1318,905,474,3
1319,6,527,5
1320,267,152,5
1321,297,587,4
1322,235,594,3
1323,84,431,4
1324,664,273,3
1325,13,237,5
1326,0,113,5
1327,359,241,4
1328,547,299,5
1329,486,348,3
1330,78,0,4
1331,23,57,3
1332,861,865,4
1333,787,75,3
1334,168,300,4
1335,503,222,5
1336,393,117,4
1337,895,24,3
1338,640,197,5
1339,810,291,3
1340,157,221,3
1341,416,95,3
1342,304,862,4
1343,494,446,4
1344,193,587,4
1345,388,428,4
1346,157,180,3
1347,504,186,1
1348,533,285,3
1349,550,127,4
1350,91,576,3
1351,710,315,4
1352,83,290,3
1353,379,479,4
1354,902,527,4
1355,745,683,4
1356,757,323,5
1357,760,180,5
1358,494,549,3
1359,22,855,4
1360,531,733,3
1361,730,7,2
1362,845,384,5
1363,398,709,2
1364,649,199,4
1365,403,342,1
1366,180,124,3
1367,559,24,3
1368,233,492,3
1369,32,270,4
1370,787,549,3
1371,324,1117,3
1372,25,115,2
1373,621,531,3
1374,392,963,2
1375,12,268,2
1376,670,1596,1
1377,254,664,3
1378,84,51,3
1379,851,505,4
1380,6,488,3
1381,467,460,4
1382,58,368,2
1383,550,560,5
1384,86,221,4
1385,532,251,4
1386,269,1008,5
1387,748,228,3
1388,437,283,2
1389,814,434,4
1390,708,231,5
1391,536,293,1
1392,532,13,3
1393,302,633,3
1394,748,142,4
1395,790,285,3
1396,418,299,4
1397,270,317,5
1398,942,172,5
1399,196,687,1
1400,366,4,4
1401,531,780,5
1402,143,11,4
1403,591,481,4
1404,107,49,4
1405,842,141,2
1406,140,281,5
1407,893,133,4
1408,439,303,5
1409,915,1134,3
1410,58,68,5
1411,803,519,4
1412,93,156,5
1413,344,285,3
1414,829,398,5
1415,313,55,1
1416,933,785,1
1417,129,108,3
1418,757,194,5
1419,747,153,3
1420,471,392,3
1421,144,233,5
1422,699,167,3
1423,547,545,4
1424,386,318,1
1425,471,741,5
1426,525,312,5
1427,328,281,3
1428,101,435,2
1429,404,650,5
1430,696,325,4
1431,294,97,5
1432,86,475,2
1433,505,771,1
1434,804,714,4
1435,654,291,2
1436,327,480,3
1437,560,409,1
1438,523,604,1
1439,270,392,4
1440,478,726,5
1441,163,825,4
1442,505,709,5
1443,379,427,3
1444,888,1112,5
1445,41,734,4
1446,470,626,1
1447,874,170,5
1448,416,779,4
1449,547,2,1
1450,295,49,5
1451,221,160,4
1452,787,669,3
1453,748,1439,3
1454,264,322,3
1455,507,172,4
1456,665,513,4
1457,863,442,4
1458,12,11,5
1459,404,1031,1
1460,384,432,4
1461,37,403,5
1462,5,131,5
1463,726,506,2
1464,147,508,5
1465,56,1092,3
1466,297,251,4
1467,534,613,5
1468,101,666,3
1469,398,306,3
1470,745,565,4
1471,532,920,2
1472,200,955,4
1473,129,391,4
1474,343,4,3
1475,111,321,4
1476,273,404,4
1477,748,822,3
1478,398,7,3
1479,209,1117,4
1480,697,1114,2
1481,398,226,2
1482,698,404,3
1483,477,672,3
1484,21,861,1
1485,6,167,5
1486,846,201,4
1487,748,402,4
1488,347,6,4
1489,188,134,4
1490,805,215,4
1491,265,24,3
1492,346,434,5
1493,0,39,3
1494,874,168,5
1495,723,1431,1
1496,744,193,4
1497,279,558,3
1498,175,324,3
1499,918,56,5
1500,10,732,4
1501,356,269,5
1502,302,140,3
1503,888,317,4
1504,918,1283,3
1505,279,209,2
1506,396,1018,3
1507,659,86,2
1508,192,24,4
1509,551,236,4
1510,322,63,5
1511,393,1370,2
1512,243,300,2
1513,62,281,1
1514,449,10,5
1515,716,824,2
1516,177,808,4
1517,499,528,4
1518,200,894,3
1519,226,1016,4
1520,235,116,3
1521,852,327,3
1522,296,257,5
1523,270,460,5
1524,63,968,3
1525,398,721,2
1526,600,207,4
1527,365,435,5
1528,269,474,5
1529,906,287,5
1530,311,497,5
1531,214,86,5
1532,327,156,5
1533,663,495,5
1534,180,149,1
1535,58,168,4
1536,920,1286,1
1537,660,63,4
1538,570,356,4
1539,720,1392,3
1540,304,1017,5
1541,58,583,4
1542,624,960,4
1543,942,138,1
1544,392,819,3
1545,626,194,4
1546,240,334,3
1547,360,13,4
1548,61,175,5
1549,446,179,5
1550,12,307,3
1551,864,455,1
1552,398,225,3
1553,823,285,2
1554,121,82,5
1555,327,738,3
1556,746,660,5
1557,103,285,1
1558,285,951,2
1559,565,185,3
1560,534,189,4
1561,502,434,3
1562,454,737,3
1563,101,635,3
1564,605,146,5
1565,822,458,4
1566,396,21,4
1567,313,422,4
1568,223,148,1
1569,825,264,5
1570,857,333,4
1571,883,735,3
1572,672,895,5
1573,523,1092,4
1574,467,173,5
1575,534,1092,4
1576,757,158,3
1577,523,171,3
1578,221,208,4
1579,529,203,4
1580,313,157,3
1581,229,68,4
1582,17,112,5
1583,58,193,3
1584,345,290,5
1585,757,127,4
1586,403,677,4
1587,333,282,4
1588,654,21,2
1589,407,287,4
1590,662,507,4
1591,674,271,3
1592,805,272,4
1593,692,1089,4
1594,795,661,5
1595,629,324,3
1596,111,353,3
1597,498,513,5
1598,654,136,4
1599,143,281,4
1600,398,146,5
1601,200,28,3
1602,665,81,3
1603,478,171,4
1604,404,1474,1
1605,455,696,4
1606,340,293,3
1607,157,274,5
1608,647,435,5
1609,532,210,4
1610,0,81,5
1611,896,683,2
1612,652,1013,2
1613,6,661,3
1614,896,176,5
1615,806,430,4
1616,144,245,4
1617,382,479,5
1618,83,273,4
1619,0,12,5
1620,331,366,4
1621,462,951,1
1622,12,852,1
1623,471,770,4
1624,803,144,3
1625,338,1247,3
1626,598,1356,2
1627,901,267,1
1628,532,738,5
1629,61,420,5
1630,264,283,4
1631,713,299,5
1632,408,338,2
1633,500,627,4
1634,794,746,3
1635,341,178,5
1636,12,70,4
1637,180,869,2
1638,386,650,2
1639,133,325,5
1640,870,91,3
1641,4,109,1
1642,750,312,2
1643,179,784,4
1644,267,629,4
1645,638,513,4
1646,319,128,4
1647,495,189,5
1648,238,275,5
